date,channel,users,sessions,pageviews,bounce_rate,avg_session_duration_sec,conversions
2024-01-01,Direct,42,44,69,0.48,248,0
2024-01-02,Paid Search,35,43,97,0.46,189,1
2024-01-03,Social,38,43,93,0.37,281,1
2024-01-04,Direct,36,42,68,0.42,108,0
2024-01-05,Organic Search,36,38,56,0.48,265,1
2024-01-06,Organic Search,47,56,120,0.45,262,1
2024-01-07,Organic Search,44,48,101,0.6,183,2
2024-01-08,Email,35,43,73,0.34,272,0
2024-01-09,Referral,48,52,127,0.51,202,0
2024-01-10,Social,44,47,73,0.42,272,0
2024-01-11,Organic Search,48,50,93,0.43,235,0
2024-01-12,Paid Search,47,53,129,0.52,152,4
2024-01-13,Social,35,40,74,0.51,205,1
2024-01-14,Organic Search,38,40,84,0.6,202,2
2024-01-15,Organic Search,49,59,108,0.34,136,0
2024-01-16,Organic Search,48,54,91,0.33,292,1
2024-01-17,Organic Search,43,49,121,0.52,146,2
2024-01-18,Direct,44,50,92,0.47,207,1
2024-01-19,Direct,54,61,145,0.38,134,1
2024-01-20,Organic Search,39,45,74,0.32,250,2
2024-01-21,Referral,48,51,83,0.33,234,1
2024-01-22,Organic Search,42,45,64,0.57,287,3
2024-01-23,Organic Search,43,52,110,0.36,93,2
2024-01-24,Direct,53,65,117,0.4,237,1
2024-01-25,Direct,51,57,133,0.37,136,1
2024-01-26,Social,51,56,107,0.41,232,2
2024-01-27,Organic Search,56,66,162,0.32,287,0
2024-01-28,Direct,46,52,83,0.46,136,0
2024-01-29,Direct,51,53,124,0.32,167,1
2024-01-30,Organic Search,43,46,103,0.54,213,1
2024-01-31,Referral,49,58,130,0.37,164,0
2024-02-01,Organic Search,45,53,123,0.46,192,1
2024-02-02,Organic Search,47,49,109,0.56,226,3
2024-02-03,Email,51,55,114,0.5,179,1
2024-02-04,Paid Search,40,43,66,0.46,233,0
2024-02-05,Social,64,75,107,0.4,158,0
2024-02-06,Organic Search,39,41,98,0.4,150,1
2024-02-07,Organic Search,38,40,83,0.5,227,3
2024-02-08,Referral,57,68,154,0.6,139,0
2024-02-09,Direct,54,58,111,0.5,92,2
2024-02-10,Organic Search,53,62,94,0.47,294,0
2024-02-11,Direct,54,59,90,0.52,196,4
2024-02-12,Organic Search,49,52,112,0.44,202,1
2024-02-13,Email,42,46,86,0.32,183,0
2024-02-14,Organic Search,50,59,95,0.47,207,1
2024-02-15,Referral,44,53,102,0.59,287,2
2024-02-16,Organic Search,57,69,101,0.35,170,2
2024-02-17,Direct,49,55,112,0.51,198,1
2024-02-18,Direct,43,50,84,0.36,140,1
2024-02-19,Organic Search,48,52,118,0.46,236,1
2024-02-20,Paid Search,54,59,102,0.33,259,3
2024-02-21,Social,46,56,106,0.44,124,1
2024-02-22,Email,44,46,64,0.53,135,0
2024-02-23,Email,53,56,82,0.4,243,0
2024-02-24,Direct,53,57,104,0.5,158,1
2024-02-25,Email,47,49,94,0.54,182,0
2024-02-26,Organic Search,48,52,107,0.58,153,0
2024-02-27,Organic Search,54,62,106,0.37,254,0
2024-02-28,Organic Search,41,46,99,0.42,138,1
2024-02-29,Organic Search,41,50,117,0.35,238,1
2024-03-01,Direct,47,57,128,0.6,163,1
2024-03-02,Organic Search,51,57,82,0.58,281,0
2024-03-03,Social,56,61,117,0.46,94,1
2024-03-04,Direct,65,73,110,0.55,189,0
2024-03-05,Organic Search,60,70,116,0.46,159,0
2024-03-06,Direct,52,57,141,0.49,179,0
2024-03-07,Organic Search,54,63,98,0.33,93,0
2024-03-08,Social,46,52,101,0.53,215,0
2024-03-09,Organic Search,54,62,128,0.34,128,2
2024-03-10,Paid Search,52,59,128,0.55,252,0
2024-03-11,Social,57,63,126,0.53,218,2
2024-03-12,Organic Search,48,59,83,0.51,113,1
2024-03-13,Organic Search,59,70,123,0.31,146,1
2024-03-14,Social,68,73,143,0.39,189,4
2024-03-15,Social,55,67,100,0.38,159,0
2024-03-16,Social,59,67,119,0.41,130,1
2024-03-17,Social,62,76,109,0.33,271,2
2024-03-18,Organic Search,53,64,95,0.58,263,1
2024-03-19,Direct,58,65,119,0.47,149,3
2024-03-20,Organic Search,57,60,92,0.39,197,1
2024-03-21,Email,58,64,129,0.42,277,0
2024-03-22,Referral,51,59,127,0.43,146,0
